namae,gakunen,senkou,narabi
国語総合,1,1,1
数学,1,1,1
コミュニケーション英語,1,1,1
現代社会,1,1,1
体育,1,1,1
保健,1,1,1
ビジネス基礎,1,1,1
簿記,1,1,1
情報処理,1,1,1
現代文B,2,1,1
数学,2,1,1
コミュニケーション英語,2,1,1
理科,2,1,1
世界史,2,1,1
体育,2,1,1
保健,2,1,1
音楽,2,1,1
美術,2,1,1
書道,2,1,1
家庭科,2,1,1
マーケティング,2,1,1
商品開発,2,1,1
ビジネス経済,2,1,1
経済活動と法,2,1,1
財務会計,2,1,1
原価計算,2,1,1
国語表現,3,1,1
数学,3,1,1
コミュニケーション英語,3,1,1
英語会話,3,1,1
科学,3,1,1
日本史,3,1,1
体育,3,1,1
総合実践,3,1,1
家庭総合,3,1,1
課題研究,3,1,1
マーケティング,3,1,1
会計,3,1,1
ビジネス実務,3,1,1
広告と販売促進,3,1,1
財務会計,3,1,1
国語総合,1,2,1
数学,1,2,1
コミュニケーション英語,1,2,1
現代社会,1,2,1
体育,1,2,1
保健,1,2,1
ビジネス基礎,1,2,1
簿記,1,2,1
情報処理,1,2,1
プログラミング,1,2,1
現代文B,2,2,1
数学,2,2,1
コミュニケーション英語,2,2,1
理科,2,2,1
世界史,2,2,1
体育,2,2,1
保健,2,2,1
音楽,2,2,1
美術,2,2,1
書道,2,2,1
家庭科,2,2,1
簿記,2,2,1
ビジネス情報,2,2,1
プログラミング,2,2,1
国語表現,3,2,1
数学,3,2,1
コミュニケーション英語,3,2,1
英語会話,3,2,1
科学,3,2,1
日本史,3,2,1
体育,3,2,1
家庭総合,3,2,1
総合実践,3,2,1
課題研究,3,2,1
電子商取引,3,2,1
ビジネス情報管理,3,2,1